id_operacion,fecha,sucursal,importe
OP-0264,2026-01-22,BIL02,1099.21
OP-0265,2026-01-22,VAL03,1261.03
OP-0266,2026-01-22,VAL03,1788.6
OP-0267,2026-01-22,VAL03,173.34
OP-0268,2026-01-22,VAL03,1105.26
OP-0269,2026-01-22,VAL03,1270.6
OP-0270,2026-01-22,VAL03,1318.4
OP-0271,2026-01-22,VAL03,1051.23
OP-0272,2026-01-23,MAD01,1331.2
OP-0273,2026-01-23,MAD01,1890.94
OP-0274,2026-01-23,MAD01,586.46
OP-0275,2026-01-23,MAD01,1545.53
OP-0276,2026-01-23,MAD01,1068.59
OP-0277,2026-01-23,BIL02,1175.47
OP-0278,2026-01-23,BIL02,778.84
OP-0279,2026-01-23,BIL02,1066.22
OP-0280,2026-01-23,BIL02,1720.02
OP-0281,2026-01-23,BIL02,1433.06
OP-0282,2026-01-23,VAL03,1670.96
OP-0283,2026-01-23,VAL03,1375.63
OP-0284,2026-01-23,VAL03,1897.57
OP-0285,2026-01-23,VAL03,1375.6
OP-0286,2026-01-23,VAL03,1531.2
OP-0287,2026-01-23,VAL03,1081.37
OP-0288,2026-01-23,VAL03,1226.62
OP-0289,2026-01-24,MAD01,921.03
OP-0290,2026-01-24,MAD01,1595.83
OP-0291,2026-01-24,MAD01,728.68
OP-0292,2026-01-24,MAD01,1512.94
OP-0293,2026-01-24,MAD01,1123.74
OP-0294,2026-01-24,BIL02,1500.35
OP-0295,2026-01-24,BIL02,1928.26
OP-0296,2026-01-24,BIL02,1492.31
OP-0297,2026-01-24,BIL02,571.18
OP-0298,2026-01-24,BIL02,1173.22
OP-0299,2026-01-24,BIL02,731.2
OP-0300,2026-01-24,BIL02,992.69
OP-0301,2026-01-24,VAL03,1804.49
OP-0302,2026-01-24,VAL03,1455.01
OP-0303,2026-01-24,VAL03,920.43
OP-0304,2026-01-24,VAL03,794.51
OP-0305,2026-01-24,VAL03,1213.11
OP-0306,2026-01-24,VAL03,713.38
OP-0307,2026-01-25,MAD01,1324.8
OP-0308,2026-01-25,MAD01,1662.12
OP-0309,2026-01-25,MAD01,1443.5
OP-0310,2026-01-25,BIL02,283.48
OP-0311,2026-01-25,BIL02,1321.75
OP-0312,2026-01-25,BIL02,1228.81
OP-0313,2026-01-25,VAL03,1846.48
OP-0314,2026-01-25,VAL03,374.7
OP-0315,2026-01-25,VAL03,963.56
OP-0316,2026-01-25,VAL03,1436.36
OP-0317,2026-01-25,VAL03,567.36
OP-0318,2026-01-25,VAL03,1790.38
OP-0319,2026-01-25,VAL03,1347.34
OP-0320,2026-01-08,MAD01,18500.0
OP-0321,2026-01-15,BIL02,22750.0
OP-0322,2026-01-22,VAL03,15900.0
