id_operacion,importe,dias_desde_revision,num_operaciones_mes,antiguedad_cuenta_anios,riesgo_alto,anomalia_inyectada
OP-0115,653.3,72,23,12,0,False
OP-0116,1039.34,68,48,9,1,False
OP-0117,1029.33,103,45,18,0,False
OP-0118,1101.64,176,42,3,1,False
OP-0119,316.05,71,1,3,1,False
OP-0120,455.71,106,3,13,0,False
OP-0121,751.06,79,29,17,0,False
OP-0122,668.67,109,17,5,0,False
OP-0123,813.57,80,42,5,0,False
OP-0124,673.79,115,16,10,1,False
OP-0125,557.95,98,8,15,0,False
OP-0126,609.97,122,6,5,0,False
OP-0127,712.39,172,15,16,0,False
OP-0128,513.23,27,31,10,0,False
OP-0129,531.25,101,7,14,0,False
OP-0130,883.27,79,40,12,1,False
OP-0131,256.75,65,15,9,0,False
OP-0132,513.72,43,16,10,0,False
OP-0133,470.78,10,33,19,0,False
OP-0134,826.36,73,43,7,1,False
OP-0135,672.5,148,22,18,1,False
OP-0136,888.26,18,40,15,0,False
OP-0137,518.92,73,15,3,0,False
OP-0138,595.1,174,7,17,0,False
OP-0139,1296.8,171,41,7,1,False
OP-0140,992.4,39,38,3,0,False
OP-0141,723.66,2,37,5,0,False
OP-0142,1067.85,121,44,2,1,False
OP-0143,424.91,3,25,6,0,False
OP-0144,378.55,54,10,2,0,False
OP-0145,805.54,89,29,10,0,False
OP-0146,893.57,157,29,19,0,False
OP-0147,435.02,17,19,19,0,False
OP-0148,927.48,119,32,18,0,False
OP-0149,489.76,96,13,4,0,False
OP-0150,672.39,24,30,4,0,False
OP-0151,1097.12,152,39,13,1,False
OP-0152,542.41,152,5,19,0,False
OP-0153,746.09,87,23,16,0,False
OP-0154,1054.7,170,33,4,1,False
OP-0155,362.06,109,3,14,0,False
OP-0156,975.22,162,31,10,1,False
OP-0157,1078.74,172,45,8,0,False
OP-0158,810.05,102,41,9,1,False
OP-0159,820.07,51,34,10,1,False
OP-0160,758.49,27,40,18,1,False
OP-0161,627.84,101,18,15,0,False
OP-0162,355.23,35,17,0,0,False
OP-0163,433.49,135,5,15,0,False
OP-0164,984.01,167,36,6,1,False
OP-0165,411.58,44,16,6,1,False
OP-0166,762.5,99,43,11,0,False
OP-0167,434.51,9,23,19,0,False
OP-0168,1010.73,33,44,1,1,False
OP-0169,429.1,68,7,10,0,False
OP-0170,557.91,159,8,4,0,False
OP-0171,711.51,174,17,18,0,False
OP-0172,490.68,115,2,9,0,False
OP-0173,423.96,105,25,17,0,False
OP-0174,786.55,102,32,17,0,False
OP-0175,761.32,11,33,2,0,False
OP-0176,494.21,68,11,15,0,False
OP-0177,784.07,177,9,15,0,False
OP-0178,801.5,74,28,16,0,False
OP-0179,694.26,39,32,19,0,False
OP-0180,946.2,43,47,15,0,False
OP-0181,1114.69,128,44,16,0,False
OP-0182,375.07,7,19,14,0,False
OP-0183,638.98,174,8,5,0,False
OP-0184,719.62,157,13,16,0,False
OP-0185,1189.74,102,44,14,0,False
OP-0186,632.07,84,23,13,0,False
OP-0187,1109.16,137,49,19,0,False
OP-0188,842.85,99,33,14,1,False
OP-0189,926.32,86,30,6,0,False
OP-0190,357.97,58,5,6,0,False
OP-0191,911.94,80,29,6,1,False
OP-0192,643.33,135,19,3,0,False
OP-0193,826.4,10,42,1,0,False
OP-0194,220.18,5,7,15,0,False
OP-0195,611.65,129,10,15,0,False
OP-0196,918.53,67,33,3,1,False
OP-0197,812.06,144,34,7,0,False
OP-0198,645.49,6,41,18,0,False
OP-0199,869.69,163,26,16,1,False
OP-0200,408.13,22,19,11,0,False
OP-0201,327.76,75,15,19,0,False
OP-0202,906.85,174,19,6,1,False
OP-0203,704.4,20,33,16,0,False
OP-0204,800.32,118,27,18,0,False
OP-0205,584.46,131,15,11,0,False
OP-0206,606.89,77,11,3,0,False
OP-0207,706.0,15,35,5,0,False
OP-0208,642.64,94,13,10,0,False
OP-0209,404.83,78,11,5,0,False
OP-0210,678.59,157,17,1,1,False
OP-0211,1081.47,123,42,3,1,False
OP-0212,503.77,62,23,19,0,False
OP-0213,704.55,11,30,7,0,False
OP-0214,443.01,106,4,11,1,False
OP-0215,424.7,51,17,8,0,False
OP-0216,928.29,123,37,16,1,False
OP-0217,1034.87,155,38,2,1,False
OP-0218,829.58,64,29,5,1,False
OP-0219,1050.74,162,43,11,1,False
OP-0220,487.08,93,15,16,0,False
OP-0221,603.12,96,9,9,0,False
OP-0222,687.86,137,4,14,0,False
OP-0223,753.9,142,10,16,0,False
OP-0224,1042.32,163,38,12,1,False
OP-0225,1174.89,179,45,16,1,False
OP-0226,419.35,28,7,19,0,False
OP-0227,690.56,74,25,4,1,False
OP-0228,503.37,168,7,8,0,False
OP-0229,933.69,56,42,4,1,False
OP-0230,312.15,1,7,8,0,False
OP-0231,805.09,104,32,0,1,False
OP-0232,300.38,135,4,13,0,False
OP-0233,859.33,134,37,4,1,False
OP-0234,1153.54,146,45,16,0,False
OP-0235,826.16,116,36,14,0,False
OP-0236,415.87,25,14,6,0,False
OP-0237,1110.26,152,42,9,0,False
OP-0238,586.91,75,16,13,0,False
OP-0239,985.51,152,37,8,0,False
OP-0240,1136.87,146,41,4,1,False
OP-0241,818.99,174,24,0,1,False
OP-0242,579.83,3,31,11,0,False
OP-0243,989.56,156,42,10,0,False
OP-0244,614.18,113,10,15,0,False
OP-0245,376.29,87,1,2,0,False
OP-0246,735.07,142,22,1,0,False
OP-0247,571.76,171,9,14,0,False
OP-0248,951.83,92,44,14,1,False
OP-0249,872.05,16,43,15,0,False
OP-0250,585.44,130,19,0,0,False
OP-0251,355.28,42,16,13,0,False
OP-0252,674.19,41,35,19,0,False
OP-0253,793.23,35,23,15,0,False
OP-0254,397.57,36,5,9,0,False
OP-0255,964.85,163,33,9,0,False
OP-0256,901.2,65,36,8,1,False
OP-0257,500.74,20,4,1,0,False
OP-0258,757.63,33,39,14,0,False
OP-0259,660.36,71,27,10,0,False
OP-0260,1010.19,62,41,10,0,False
OP-0261,901.42,56,42,18,1,False
OP-0262,1047.13,170,34,14,1,False
OP-0263,621.18,156,17,19,1,False
OP-0264,878.42,103,19,1,1,False
OP-0265,1169.96,177,36,19,0,False
OP-0266,383.59,61,4,11,0,False
OP-0267,458.43,25,12,8,0,False
OP-0268,430.27,49,26,11,0,False
OP-0269,1000.77,16,47,0,1,False
OP-0270,1002.59,171,38,18,0,False
OP-0271,863.39,40,40,12,0,False
OP-0272,578.25,80,10,0,0,False
OP-0273,359.87,37,14,18,0,False
OP-0274,547.95,176,14,9,0,False
OP-0275,839.79,29,37,2,0,False
OP-0276,656.86,93,27,12,0,False
OP-0277,668.98,171,11,1,0,False
OP-0278,827.55,94,37,11,0,False
OP-0279,892.84,161,32,15,0,False
OP-0280,946.05,161,44,1,0,False
OP-0281,942.69,138,28,15,0,False
OP-0282,541.33,133,7,11,0,False
OP-0283,1149.14,104,44,6,0,False
OP-0284,735.98,104,10,4,1,False
OP-0285,545.26,149,3,0,0,False
OP-0286,758.76,77,40,3,1,False
OP-0287,770.61,170,23,5,0,False
OP-0288,790.31,158,32,17,0,False
OP-0289,340.81,68,7,10,0,False
OP-0290,880.96,74,36,3,0,False
OP-0291,485.78,128,20,14,0,False
OP-0292,1256.25,166,49,9,1,False
OP-0293,484.96,18,32,16,0,False
OP-0294,885.74,13,47,15,0,False
OP-0295,774.05,45,39,18,0,False
OP-0296,882.64,77,42,14,0,False
OP-0297,317.7,30,5,2,0,False
OP-0298,862.02,93,39,11,1,False
OP-0299,742.75,97,30,8,0,False
OP-0300,593.72,171,20,16,1,False
OP-9001,45000.0,2,48,0,1,True
OP-9002,38000.0,3,45,0,1,True
OP-9003,52000.0,1,49,1,1,True
